"lineage","sample","meanAF","meanAF_uniq","minAF_uniq_nonzero","N","lineage N. rules","lineage prop."
"XBB.1.5.50","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.1.5.51","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.5.52","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.54","Mixture04",0.0161290322580645,0,NA,1,62,0.0161290322580645
"XBB.1.5.55","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.56","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.57","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.58","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.59","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.6","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.60","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.61","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.62","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.63",NA,0,0,NA,0,1,0
"XBB.1.5.64","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.65","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.66","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.67","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.68","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.69","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.7","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.8","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.9","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.6","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.7","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.8","Mixture04",0.0161290322580645,0,NA,1,62,0.0161290322580645
"XBB.1.9","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.9.1","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.9.2","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.9.3","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.1.9.4","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.9.5","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.2","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.2.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.2.2","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3.1","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.2.3.10","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3.11","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3.2","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.2.3.3","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3.4",NA,0,0,NA,0,1,0
"XBB.2.3.5","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.2.3.6","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.2.3.7","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.2.3.8","Mixture04",0.0136986301369863,0,NA,1,73,0.0136986301369863
"XBB.2.3.9","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.2.4","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.2.5","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.2.6","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.2.7","Mixture04",0.0169491525423729,0,NA,1,59,0.0169491525423729
"XBB.2.7.1","Mixture04",0.0181818181818182,0,NA,1,55,0.0181818181818182
"XBB.2.8",NA,0,0,NA,0,1,0
"XBB.2.9","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.3","Mixture04",0.015625,0,NA,1,64,0.015625
"XBB.3.1","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.3.2","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.3.3","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.3.4","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.4","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.4.1","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.5","Mixture04",0.015625,0,NA,1,64,0.015625
"XBB.6","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.6.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.7","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.8","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.8.1","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.9","Mixture04",0.0158730158730159,0,NA,1,63,0.0158730158730159
"XBC.1",NA,0,0,NA,0,1,0
"XBC.1.1",NA,0,0,NA,0,1,0
"XBC.1.2.1",NA,0,0,NA,0,1,0
"XBC.1.3",NA,0,0,NA,0,1,0
"XBC.1.4",NA,0,0,NA,0,1,0
"XBC.1.5",NA,0,0,NA,0,1,0
"XBC.1.6",NA,0,0,NA,0,1,0
"XBC.1.6.1",NA,0,0,NA,0,1,0
"XBC.1.6.3",NA,0,0,NA,0,1,0
"XBC.2",NA,0,0,NA,0,1,0
"XBD","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBE","Mixture04",0.0175438596491228,0,NA,1,57,0.0175438596491228
"XBF","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
