sample	variant_group	proportion	mean	std_error
Mixture03	Omicron_BA.4	0.5114783589737103	0.5082861656005659	0.02019749744543359
Mixture03	Omicron_BA.5	2.0099682994351157e-08	0.002078468025646416	0.004321201265728895
Mixture03	Theta_P.3	0.00021119730917525475	0.00014841760801111037	0.00017316769563092675
Mixture03	Zeta_P.2	0.014307530257584005	0.014435009444526246	0.0025008916435269608
Mixture04	A.23.1	0.0012859396044309457	0.0014173753965412606	0.0006204486623480217
Mixture04	AV.1	0.0010389095976722211	0.0009525055134122472	0.0004945056632694233
Mixture04	Alpha_B.1.1.7	0.0023555089310217424	0.002481396036484309	0.0007710735387589371
Mixture04	B.1	0	0.0	0.0
Mixture04	B.1.1	0	0.0	0.0
Mixture04	B.1.1.318	0.014126581866995228	0.014525858877145048	0.0020282796151922166
Mixture04	B.1.177	0.001612511017413448	0.0016428283822775389	0.0010422427788168386
Mixture04	B.1.617.3	0.0011183455479507217	0.0010735862585992434	0.0006845010625007444
Mixture04	B.1.623	0.0013974663599001852	0.0012812554958329956	0.0006139958143583978
Mixture04	Beta_B.1.351	1.3166821836940924e-08	0.0002487450883944628	0.001322909210740699
Mixture04	Delta_B.1.617.2	0.0005589006909163859	0.0005548253573207311	0.00041937014463499194
Mixture04	Epsilon_B.1.427_429	0.0005446119540802811	0.0004561339292158934	0.0005072550538505866
Mixture04	Eta_B.1.525	0.0025213127134672275	0.002685949770910636	0.0009236296479241989
Mixture04	Gamma_P.1	0.026725959318549992	0.02670839221007047	0.0031921750411480305
Mixture04	Iota_B.1.526	0.012139688150486973	0.011763492320711243	0.0033263256749603114
Mixture04	Kappa_B.1.617.1	0.0012555071048384876	0.0012904837644915799	0.0005679155426474235
Mixture04	Lambda_C.37	0	1.1502082783145666e-11	5.1211035516443e-11
Mixture04	Mu_B.1.621	0.00038332536053084493	0.00043069878353488923	0.00038378875410500086
Mixture04	Omicron_BA.1	0.8229374337281671	0.823078865234186	0.005837088675896994
