Sample name,lineages,abundances,scheme,tool,Background,expected_abundance,percent_of_expected
0adgio1o2o3o4o5,BA.5.X,0.0077,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.13333333333333333,5.775
0aio1o2o3o4o5,BA.5.X,0.0053,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.125,4.24
0o5o3o4,BA.5.X,0.0051,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.25,2.04
agio3o4o5,BA.5.X,0.0078,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.1875,4.16
o1o2o3o4o5,BA.5.X,0.0071,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.25,2.8400000000000003
o2o3o4o5,BA.5.X,0.0045,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.3125,1.44
o2o3o4o5-2,BA.5.X,0.0038,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.25,1.52
o2o3o4o5-3,BA.5.X,0.0062,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,0.25,2.48
o5,BA.5.X,0.0122,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,1.0,1.22
o5-2,BA.5.X,0.0039,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,1.0,0.38999999999999996
o5-3,BA.5.X,0.0046,Kraken 2 (C-WAP): PWRB,Kraken 2 (C-WAP),PWRB,1.0,0.45999999999999996
0adgio1o2o3o4o5,BA.5.X,0.0107,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.13333333333333333,8.025
0aio1o2o3o4o5,BA.5.X,0.0096,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.125,7.68
0o5o3o4,BA.5.X,0.0111,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.25,4.44
agio3o4o5,BA.5.X,0.0088,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.1875,4.693333333333333
o1o2o3o4o5,BA.5.X,0.0098,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.25,3.92
o2o3o4o5,BA.5.X,0.0096,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.3125,3.0719999999999996
o2o3o4o5-2,BA.5.X,0.0105,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.25,4.2
o2o3o4o5-3,BA.5.X,0.0104,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,0.25,4.16
o5,BA.5.X,0.0146,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,1.0,1.46
o5-2,BA.5.X,0.0175,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,1.0,1.7500000000000002
o5-3,BA.5.X,0.0177,Kraken 2 (C-WAP): WB,Kraken 2 (C-WAP),WB,1.0,1.77
0adgio1o2o3o4o5,BA.5.X,0.0025,LCS: NWRB,LCS,NWRB,0.13333333333333333,1.875
0aio1o2o3o4o5,BA.5.X,0.0138,LCS: NWRB,LCS,NWRB,0.125,11.04
0o5o3o4,BA.5.X,0.0219,LCS: NWRB,LCS,NWRB,0.25,8.76
o1o2o3o4o5,BA.5.X,0.1141,LCS: NWRB,LCS,NWRB,0.25,45.64
o2o3o4o5,BA.5.X,0.1581,LCS: NWRB,LCS,NWRB,0.3125,50.59199999999999
o2o3o4o5-2,BA.5.X,0.0543,LCS: NWRB,LCS,NWRB,0.25,21.72
o2o3o4o5-3,BA.5.X,0.2249,LCS: NWRB,LCS,NWRB,0.25,89.96
o5,BA.5.X,0.9646,LCS: NWRB,LCS,NWRB,1.0,96.46000000000001
o5-2,BA.5.X,0.9305,LCS: NWRB,LCS,NWRB,1.0,93.05
o5-3,BA.5.X,0.9472,LCS: NWRB,LCS,NWRB,1.0,94.72
0adgio1o2o3o4o5,BA.5.X,0.0025,LCS: PWRB,LCS,PWRB,0.13333333333333333,1.875
0aio1o2o3o4o5,BA.5.X,0.0138,LCS: PWRB,LCS,PWRB,0.125,11.04
0o5o3o4,BA.5.X,0.0219,LCS: PWRB,LCS,PWRB,0.25,8.76
o1o2o3o4o5,BA.5.X,0.1141,LCS: PWRB,LCS,PWRB,0.25,45.64
