lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
BQ.1.31,NA,0,0,NA,0,1,0
BQ.1.32,NA,0,0,NA,0,1,0
BQ.1.33,NA,0,0,NA,0,1,0
BQ.1.4,NA,0,0,NA,0,1,0
BQ.1.5,NA,0,0,NA,0,1,0
BQ.1.6,NA,0,0,NA,0,1,0
BQ.1.7,NA,0,0,NA,0,1,0
BQ.1.8,NA,0,0,NA,0,1,0
BQ.1.8.2,NA,0,0,NA,0,1,0
BQ.1.9,NA,0,0,NA,0,1,0
BQ.2,NA,0,0,NA,0,1,0
BR.1,NA,0,0,NA,0,1,0
BR.1.2,NA,0,0,NA,0,1,0
BR.2,NA,0,0,NA,0,1,0
BR.2.1,NA,0,0,NA,0,1,0
BR.3,NA,0,0,NA,0,1,0
BR.4,NA,0,0,NA,0,1,0
BR.5,NA,0,0,NA,0,1,0
BS.1,NA,0,0,NA,0,1,0
BS.1.1,NA,0,0,NA,0,1,0
BT.1,NA,0,0,NA,0,1,0
BT.2,NA,0,0,NA,0,1,0
BU.1,NA,0,0,NA,0,1,0
BU.2,NA,0,0,NA,0,1,0
BU.3,NA,0,0,NA,0,1,0
BV.1,NA,0,0,NA,0,1,0
BV.2,NA,0,0,NA,0,1,0
BW.1,NA,0,0,NA,0,1,0
BW.1.1,NA,0,0,NA,0,1,0
BW.1.1.1,NA,0,0,NA,0,1,0
BW.1.1.2,NA,0,0,NA,0,1,0
BW.1.2,NA,0,0,NA,0,1,0
BY.1,NA,0,0,NA,0,1,0
BY.1.1,NA,0,0,NA,0,1,0
BY.1.1.1,NA,0,0,NA,0,1,0
BY.1.2,NA,0,0,NA,0,1,0
BZ.1,NA,0,0,NA,0,1,0
BZ.2,NA,0,0,NA,0,1,0
C.1,NA,0,0,NA,0,1,0
C.13,NA,0,0,NA,0,1,0
C.14,NA,0,0,NA,0,1,0
C.16,NA,0,0,NA,0,1,0
C.17,NA,0,0,NA,0,1,0
C.18,NA,0,0,NA,0,1,0
C.2.1,NA,0,0,NA,0,1,0
C.23,NA,0,0,NA,0,1,0
C.28,NA,0,0,NA,0,1,0
C.31,NA,0,0,NA,0,1,0
C.33,NA,0,0,NA,0,1,0
C.35,NA,0,0,NA,0,1,0
C.36,NA,0,0,NA,0,1,0
C.36.1,NA,0,0,NA,0,1,0
C.36.3,NA,0,0,NA,0,1,0
C.36.3.1,NA,0,0,NA,0,1,0
C.37,NA,0,0,NA,0,1,0
C.37.1,NA,0,0,NA,0,1,0
C.38,NA,0,0,NA,0,1,0
C.4,NA,0,0,NA,0,1,0
C.8,NA,0,0,NA,0,1,0
CA.1,NA,0,0,NA,0,1,0
CA.2,NA,0,0,NA,0,1,0
CA.3,NA,0,0,NA,0,1,0
CA.3.1,NA,0,0,NA,0,1,0
CA.5,NA,0,0,NA,0,1,0
CA.6,NA,0,0,NA,0,1,0
CA.7,NA,0,0,NA,0,1,0
CB.1,NA,0,0,NA,0,1,0
CC.1,NA,0,0,NA,0,1,0
CD.1,NA,0,0,NA,0,1,0
CD.2,NA,0,0,NA,0,1,0
CE.1,NA,0,0,NA,0,1,0
CF.1,NA,0,0,NA,0,1,0
CG.1,NA,0,0,NA,0,1,0
CH.1,NA,0,0,NA,0,1,0
CH.1.1,NA,0,0,NA,0,1,0
CH.1.1.1,NA,0,0,NA,0,1,0
CH.1.1.10,NA,0,0,NA,0,1,0
CH.1.1.11,NA,0,0,NA,0,1,0
CH.1.1.12,NA,0,0,NA,0,1,0
CH.1.1.13,NA,0,0,NA,0,1,0
CH.1.1.14,NA,0,0,NA,0,1,0
CH.1.1.15,NA,0,0,NA,0,1,0
CH.1.1.16,NA,0,0,NA,0,1,0
CH.1.1.18,NA,0,0,NA,0,1,0
CH.1.1.19,NA,0,0,NA,0,1,0
CH.1.1.2,NA,0,0,NA,0,1,0
CH.1.1.20,NA,0,0,NA,0,1,0
CH.1.1.21,NA,0,0,NA,0,1,0
CH.1.1.24,NA,0,0,NA,0,1,0
CH.1.1.25,NA,0,0,NA,0,1,0
CH.1.1.26,NA,0,0,NA,0,1,0
CH.1.1.27,NA,0,0,NA,0,1,0
CH.1.1.28,NA,0,0,NA,0,1,0
CH.1.1.3,NA,0,0,NA,0,1,0
CH.1.1.5,NA,0,0,NA,0,1,0
CH.1.1.6,NA,0,0,NA,0,1,0
CH.1.1.7,NA,0,0,NA,0,1,0
CH.1.1.9,NA,0,0,NA,0,1,0
CH.2,NA,0,0,NA,0,1,0
CH.3,NA,0,0,NA,0,1,0
CJ.1,NA,0,0,NA,0,1,0
CJ.1.1,NA,0,0,NA,0,1,0
CJ.1.2,NA,0,0,NA,0,1,0
CJ.1.3,NA,0,0,NA,0,1,0
CK.1,NA,0,0,NA,0,1,0
CK.1.1,NA,0,0,NA,0,1,0
CK.1.2,NA,0,0,NA,0,1,0
CK.2,NA,0,0,NA,0,1,0
CK.2.1,NA,0,0,NA,0,1,0
CK.2.1.1,NA,0,0,NA,0,1,0
CK.3,NA,0,0,NA,0,1,0
CL.1,NA,0,0,NA,0,1,0
CL.1.1,NA,0,0,NA,0,1,0
CL.1.2,NA,0,0,NA,0,1,0
CL.1.3,NA,0,0,NA,0,1,0
CM.1,NA,0,0,NA,0,1,0
CM.10,NA,0,0,NA,0,1,0
CM.11,NA,0,0,NA,0,1,0
CM.12,NA,0,0,NA,0,1,0
CM.2,NA,0,0,NA,0,1,0
CM.2.1,NA,0,0,NA,0,1,0
CM.3,NA,0,0,NA,0,1,0
CM.4,NA,0,0,NA,0,1,0
CM.4.1,NA,0,0,NA,0,1,0
CM.5,NA,0,0,NA,0,1,0
CM.5.1,NA,0,0,NA,0,1,0
